-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.773, 80.140, 0.616,  0.379
-183.761, 80.115, 0.787,  0.412
-183.747, 80.084, 0.970,  0.445
-183.730, 80.047, 1.158,  0.478
-183.712, 80.003, 1.358,  0.511
-183.692, 79.954, 1.530,  0.544
-183.672, 79.901, 1.641,  0.577
-183.652, 79.847, 1.705,  0.610
-183.631, 79.791, 1.740,  0.643
-183.610, 79.736, 1.752,  0.676
-183.589, 79.680, 1.747,  0.709
-183.569, 79.626, 1.728,  0.742
-183.548, 79.573, 1.700,  0.775
-183.528, 79.520, 1.665,  0.808
-183.508, 79.470, 1.603,  0.841
-183.488, 79.422, 1.547,  0.874
-183.469, 79.375, 1.503,  0.907
-183.449, 79.330, 1.474,  0.940
-183.430, 79.285, 1.468,  0.973
-183.409, 79.239, 1.491,  1.006
-183.389, 79.191, 1.542,  1.039
-183.367, 79.142, 1.598,  1.072
-183.345, 79.091, 1.639,  1.105
-183.323, 79.039, 1.664,  1.138
-183.300, 78.988, 1.669,  1.171
-183.278, 78.936, 1.658,  1.204
-183.256, 78.886, 1.627,  1.237
-183.235, 78.837, 1.591,  1.270
-183.213, 78.789, 1.564,  1.303
-183.192, 78.742, 1.557,  1.336
-183.170, 78.694, 1.573,  1.369
-183.148, 78.645, 1.607,  1.402
-183.126, 78.594, 1.642,  1.435
-183.103, 78.543, 1.660,  1.468
-183.080, 78.493, 1.662,  1.501
-183.058, 78.442, 1.656,  1.534
-183.035, 78.391, 1.649,  1.567
-183.013, 78.341, 1.649,  1.600
-182.990, 78.291, 1.655,  1.633
-182.967, 78.240, 1.665,  1.666
-182.944, 78.189, 1.673,  1.699
-182.922, 78.138, 1.680,  1.732
